Asset pair,Priority,Ranking
BTC-USD,0,1
BTC-USDC,0,2
ETH-BTC,0,3
ETH-USD,0,4
ETH-USDC,0,5
LTC-BTC,0,6
LTC-USD,0,7
XRP-BTC,0,8
XRP-USD,0,9
XLM-USD,0,10
BAT-USDC,1,11
BCH-BTC,1,12
BTC-EUR,1,13
BTC-GBP,1,14
EOS-BTC,1,15
EOS-USD,1,16
ETC-BTC,1,17
ETC-USD,1,18
LINK-USD,1,19
REP-BTC,1,20
REP-USD,1,21
XTZ-BTC,1,22
XTZ-USD,1,23
ALGO-USD,2,24
ATOM-BTC,2,25
ATOM-USD,2,26
BAT-ETH,2,27
BCH-EUR,2,28
BCH-GBP,2,29
BCH-USD,2,30
CVC-USDC,2,31
DAI-USDC,2,32
DASH-BTC,2,33
DASH-USD,2,34
DNT-USDC,2,35
EOS-EUR,2,36
ETC-EUR,2,37
ETC-GBP,2,38
ETH-DAI,2,39
ETH-EUR,2,40
ETH-GBP,2,41
GNT-USDC,2,42
KNC-BTC,2,43
KNC-USD,2,44
LINK-ETH,2,45
LOOM-USDC,2,46
LTC-EUR,2,47
LTC-GBP,2,48
MANA-USDC,2,49
OXT-USD,2,50
XLM-BTC,2,51
XLM-EUR,2,52
XRP-EUR,2,53
ZEC-BTC,2,54
ZEC-USDC,2,55
ZRX-BTC,2,56
ZRX-EUR,2,57
ZRX-USD,2,58